Posición,Título,Artista,Año,lyrics
21,Imágenes paganas,Virus,1986,"5 ContributorsImágenes Paganas Lyrics[Letra de ""Imágenes Paganas (Versión Estudio)""]

[Verso 1]
Vengo agotado de cantar en la niebla
Por la autopista junto al mar hay gitanos
Van celebrando un ritual ignorado
Mis propios dioses ya no están, espejismos

[Coro]
Un remolino mezcla
Los besos y la ausencia
Imágenes paganas
Se desnudan en sueños

[Verso 2]
En el espejo, reflejos viajeros
Un apagón sentimental, la ruta pasa
Vuelve el deseo y la ansiedad de este cuerpo
Mi boca quiere pronunciar el silencio

[Coro]
Un remolino mezcla
Los besos y la ausencia
Imágenes paganas
Se desnudan en sueños


[Puente Instrumental]
Dos....
Tres....
Cuatro....
Cinco....
Seis....
Siete....

[Coro]
Un remolino mezcla
Los besos y la ausencia
Imágenes paganas
Se desnudan en sueños

[Coro]
Un remolino mezcla
Los besos y la ausencia
Imágenes paganas
Se desnudan en sueños"
22,Los viejos vinagres,Sumo,1986,"9 ContributorsLos Víejos Vínagres Lyrics[Verso 1]
Dale, dale con el look
Pero no termines como Captain Cook
Dale, dale con el look
Pero no termines como Captain Cook
Para vos lo peor es la libertad
Para vos lo peor es la libertad

[Estribillo]
Estoy rodeado de viejos vinagres, ¡todo alrededor!
Estoy rodeado de viejos vinagres, ¡todo alrededor!

[Verso 2]
No te olvides de posar
En la disco o en el bar
No te olvides de posar
En la disco o en el bar
Para vos lo peor es resbalar
Para vos lo peor es resbalar

[Estribillo]
Estoy rodeado de viejos vinagres, ¡todo alrededor!
Estoy rodeado de viejos vinagres, ¡todo alrededor!

[Outro]
Estoy rodeado de viejos vinagres, ¡todo alrededor!
Estoy rodeado de viejos vinagres, ¡todo alrededor!
Juventud, divino, tesoro
Juventud, divino, tesoro"
23,Flaca,Andrés Calamaro,1997,"17 ContributorsFlaca Lyrics[Letra de ""Flaca""]

[Coro]
Flaca, no me claves
Tus puñales por la espalda
Tan profundo, no me duelen
No me hacen mal.
Lejos, en el centro de la Tierra
Las raíces del amor
Donde estaban, quedarán.

[Verso]
Entre el no me olvides me dejé nuestros abriles olvidados
En el fondo del placard del cuarto de invitados.
Eran tiempos dorados de un pasado mejor.

Aunque casi me equivoco y te digo poco a poco
No me mientas, no me digas la verdad
No te quedes callada
No levantes la voz, ni me pidas perdón

Aunque casi te confieso
Que también he sido un perro compañero
Un perro ideal que aprendió a ladrar
Y a volver al hogar
Para poder comer


[Coro]
Flaca, no me claves
Tus puñales por la espalda
Tan profundo, no me duelen
No me hacen mal
Lejos, en el centro de la Tierra
Las raíces del amor
Donde estaban, quedarán

[Outro]
Pa-pa-pap-pa-pa-pa-pap-pa-pa
Pa-pa-pap-pa-para-pa-pap-pa-pa
Pa-pa-pap-pa-pa-pa-pap-pa-pa
Pa-pa-pap-pa-para-pa-pap-pa-pa
Para-pa-pap-pa-pa-pa-pap-pa-pa"
24,Los dinosaurios,Charly García,1983,"20 ContributorsLos Dinosaurios LyricsEl quinto sencillo de Clics Modernos probablemente sea la canción más famosa de García. Resonó con la población argentina por su mensaje de esperanza frente a la dictadura. Aunque la letra no hace ninguna… Read More [Letra de ""Los Dinosaurios""]

[Coro]
Los amigos del barrio pueden desaparecer
Los cantores de radio pueden desaparecer
Los que están en los diarios pueden desaparecer
La persona que amas puede desaparecer
Los que están en el aire pueden desaparecer en el aire
Los que están en la calle pueden desaparecer en la calle
Los amigos del barrio pueden desaparecer
Pero los dinosaurios van a desaparecer

[Verso 1]
No estoy tranquilo, mi amor, hoy es sábado a la noche, un amigo está en cana
Oh, mi amor, desaparece el mundo
Si los pesados, mi amor, llevan todo ese montón de equipaje en la mano
Oh, mi amor, yo quiero estar liviano

[Verso 2]
Cuando el mundo tira para abajo es mejor no estar atado a nada
Imaginen a los dinosaurios en la cama
Cuando el mundo tira para abajo es mejor no estar atado a nada
Imaginen a los dinosaurios en la cama

[Coro]
Los amigos del barrio pueden desaparecer
Los cantores de radio pueden desaparecer
Los que están en los diarios pueden desaparecer
La persona que amas puede desaparecer
Los que están en el aire pueden desaparecer en el aire
Los que están en la calle pueden desaparecer en la calle (¡Bah!)
Los amigos del barrio pueden desaparecer
Pero los dinosaurios van a desaparecer"
25,El revelde,La Renga,1998,"5 ContributorsEl Revelde Lyrics[Letra de ""El Revelde""]

[Intro]
Caminito al costado del mundo
Por ahí he de andar
Buscando me un rumbo
Ser socio de esta sociedad
Me puede matar

[Verso 1]
Soy el que nunca aprendió, desde que nació
Cómo debe vivir el humano
Llegué tarde al sistema
Ya estaba enchufado
Así funcionando
Siempre que haya reunión, será mi opinión
La que en la familia desate algún bardo
No puedo acotar, está siempre mal
La vida que amo

[Coro]
Caminito al costado del mundo
Por ahí he de andar
Buscándome un rumbo
Ser socio de esta sociedad
Me puede matar


[Verso 2]
Y me gusta el rock, el maldito rock
Siempre me lleva el diablo
No tengo religión
Quizá éste no era mi lugar
Pero tuve que nacer igual
No me convence ningún
Tipo de política
Ni el demócrata, ni el fascista
Porque me tocó ser así
Ni siquiera anarquista

[Coro]
Caminito al costado del mundo
Por ahí he de andar
Buscándome un rumbo
Ser socio de esta sociedad
Me puede matar

[Solo de Saxo]

[Verso 3]
Yo veo todo al revés
No veo como usted
Yo no veo justicia
Sólo miseria y hambre
O será que soy yo
Que llevo la contra como estandarte
Perdónenme pero soy así soy
Yo no sé por qué
Sé que hay otros también
Es que alguien debía de serlo
Que prefiera la rebelión
A vivir padeciendo


[Coro]
Ca-Ca-Caminito al costado del mundo
Por ahí he de andar
Buscándome un rumbo
Ser socio de esta sociedad
Me puede matar

[Outro]
Caminito al costado del mundo
Por ahí he de andar
Buscándome un rumbo
Ser socio de esta sociedad
Me puede matar"
26,Verano del '92,Los Piojos,1996,"6 ContributorsVerano del ’92 Lyrics[Letra de ""Verano del '92""]

[Intro]
Un, dos, tres, cua-

[Coro]
Oh-oh-uoh-oh-oh-oh
Oh-oh-uoh-oh-oh-oh
Oh-oh-uoh-oh-oh-oh
Oh-oh-uoh-oh-oh-oh

[Verso 1]
Juan Pedro Fasola, nuestro gran amigo
Qué ganas de verte, tenemos todos acá
Hace tanto tiempo, que no te sentimos
Contando aquel cuento de la buena pipa, ahí va

Juan Pedro Fasola, nuestro gran amigo
Qué ganas de verte, tenemos todos acá
Hace tanto tiempo, que no te sentimos
Contando aquel cuento de la buena pipa, ahí va

[Verso 2]
Voy a quemar la piedra de tu locura
Así no hay amargura y se va el dolor
Voy a quemar la piedra de tu locura
Así no hay amargura y se va el dolor


[Pre-Coro]
Fasolita querido, a ver cuando venís por acá
Fasolita querido, que te quiero ver
Te quiero contar lo mal que se vive
Lo bien que se está

[Coro]
Oh-oh-uoh-oh-oh-oh
Oh-oh-uoh-oh-oh-oh
Oh-oh-uoh-oh-oh-oh
Oh-oh-uoh-oh-oh-oh

[Verso 3]
Juan Pedro Fasola, nuestro gran amigo
Que ganas de verte, tenemos todos acá
Hace tanto tiempo, que no te sentimos
Contando aquel cuento de la buena pipa, ahí va

[Verso 4]
Voy a quemar la piedra de tu locura
Así no hay amargura y se va el dolor
Voy a quemar la piedra de tu locura
Así no hay amargura y se va el dolor

[Pre-Coro]
Fasolita querido, a ver cuando venís por acá
Fasolita querido, que te quiero ver
Te quiero contar lo mal que se vive
Lo bien que se está


[Coro]
Oh-oh-uoh-oh-oh-oh (Suba al árbol que está amaneciendo)
Oh-oh-uoh-oh-oh-oh (Suavemente en la hoja tiresé)
Oh-oh-uoh-oh-oh-oh (Suba al árbol que está amaneciendo)
Oh-oh-uoh-oh-oh-oh (Suavemente en la hoja tiresé)

[Puente]
Oh-oh, oh-oh, oh-oh, oh-oh

[Coro]
Oh-oh-uoh-oh-oh-oh (Suba al árbol que está amaneciendo)
Oh-oh-uoh-oh-oh-oh (Suavemente en la hoja tiresé)
Oh-oh-uoh-oh-oh-oh (Suba al árbol que está amaneciendo)
Oh-oh-uoh-oh-oh-oh (Suavemente en la hoja tiresé)

[Post-Coro]
Oh-oh, oh-oh, oh-oh, oh-oh

(Outro)
Allá se van, allá se van
Allá se van Los Piojos
Ya se van, ya se van"
27,Se viene,Bersuit Vergarabat,1998,"3 ContributorsSe Viene Lyrics[Letra de ""Se Viene""]

[Estribillo]
Se viene el estallido
Se viene el estallido
De mi guitarra
De tu gobierno, también
Se viene el estallido
Se viene el estallido
De mi guitarra
De tu gobierno, también

[Verso 1]
Y si te viene alguna duda
Vení, agarrala, que está dura
Si esto no es una dictadura
¿Qué es, qué es?

[Estribillo]
Se viene el estallido
Se viene el estallido
De mi guitarra
De tu gobierno, también
Se viene el estallido
Se viene el estallido
De mi guitarra
De tu gobierno, también


[Verso 2]
Y si te viene alguna duda, che
Vení, agarrala, que está dura
Si esto no es una dictadura
¿Qué es, qué es?
¡Vamos, carajo!

[Estribillo]
Se viene el estallido
Se viene el estallido
De mi garganta
De tu infierno, también (¡Vamo'!)
Se viene el estallido
Se viene el estallido
De mi garganta
De tu infierno, también

[Verso 3]
Y ya no hay ninguna duda
Se está pudriendo está basura
Fisura ya la dictadura
¡Del rey!

[Puente]
Volvió la mala, fue corta la primavera
Cerdos miserables comiendo lo que nos queda
Se llevaron la noche, nuestra última alegría
Gente poniendo huevos para salir de esta ruina


[Estribillo]
Se viene el estallido (¡Oh, oh, oh, oh!)
Se viene el estallido (¡Oh, oh, oh, oh!)
De mi guitarra
De tu gobierno, también
Se viene el estallido (¡Oh, oh, oh, oh!)
Se viene el estallido (¡Oh, oh, oh, oh!)
De mi guitarra
De tu gobierno, también

[Verso 4]
Y ya no hay ninguna duda
Se está pudriendo está basura
Si esto no es una dictadura
¡¿Qué es, qué es?!"
28,Tirá para arriba,Miguel Mateos/Zas,1984,"4 ContributorsTirá para arriba LyricsYo no busco lo que vos tenés
Yo no quiero hacerte ningún test
Sigo siendo un gato en la ciudad
Dame una oportunidad
Tengo a un ruso y a un yanqui dentro de mi habitación
Que se juegan mis zapatos y mi foto de graduación
En un Atari

Son las cuatro y no puedo dormir
Salgo a la calle a pelear por mí
Sólo me muevo bien
Y la noche me tomó por rehén
Alguien tira para abajo, yo me trato de zafar
Alguien que grita ""es de los nuestros""
Alguien que lo va a buscar

Pero venga lo que venga, para bien o mal

Tirá, tirá para arriba, tirá
Si no ves la salida, no importa, mi amor
No importa. Vos, tirá
Tirá, tirá para arriba, tirá
No hay horas perdidas, no aflojes mi amor
No aflojes. Vos, tirá

Ya no podrás quejarte si no encuentras
Lo que tanto buscabas en tu corazón
Y si te agarras los dedos contra una puerta pesada
Estoy seguro que tus grutos romperán los vidrios
De la Casa Rosada


La belleza de tu pierna escapándole a la sábana
Tu sexo a la deriva y la loca ilusión que algún día
Inventemos para todos un mundo mucho mejor
Por ahora, Lola, soplá la vela, Lola, que yo apago el televisor"
29,11 y 6,Fito Páez,1985,"13 Contributors11 y 6 Lyrics[Letra de ""11 y 6""]

[Verso 1]
En un café se vieron por casualidad
Cansados en el alma de tanto andar
Ella tenía un clavel en la mano
Él se acercó, le preguntó si andaba bien
Llegaba a la ventana en puntas de pie
Y la llevó a caminar por Corrientes

[Coro]
Miren todos, ellos solos
Pueden más que el amor y son más fuertes que el Olimpo
Se escondieron en el centro
Y, en el baño de un bar, sellaron todo con un beso

[Verso 2]
Durante un mes, vendieron rosas en La Paz
Presiento que no importaba nada más
Y entre los dos juntaban algo
No sé por qué pero jamás los volví a ver
Él carga con once y ella con seis
Y si reía, le daba la luna

[Coro]
Miren todos, ellos solos
Pueden más que el amor y son más fuertes que el Olimpo
Se escondieron en el centro
Y, en el baño de un bar, sellaron todo con un beso"
30,Los piratas,Los Auténticos Decadentes,1997,"5 ContributorsLos Piratas Lyrics[Intro]
(¡Miau!)

[Verse 1]
En días de la semana, en horas calculadas
Izamos la bandera un grupo de piratas
Llamadas misteriosas, encuentros clandestinos
Hoteles alejados, lugares sin testigos
Nos sacamos el anillo carcelero
¡Y vivimos una noche de soltero!

[Chorus]
¡Somos los piratas!
Nos gusta la aventura, las noches de bailanta
¡Somos los piratas! Toda una vida fiel
¡Al gato y a las trampas!
Al gato y las trampas

[Verse 2]
Un viaje de negocios, reuniones de trabajo
Problemas con el auto, rebusques del pirata
Patines y levantes, programas todo el día
Una agenda secreta con una doble vida
No tenemos vacaciones ni feriados
¡El gremio del pirata es muy sacrificado!


[Chorus]
¡Somos los piratas!
Amigos de la noche, los gatos y las trampas
¡Somos los piratas! Después del cabaret
¡Nos vamos para el sauna!
Nos vamos para el sauna

[Bridge]
¡Hey!
¡Si, si!
¡Ha, ah-ah! ¡Son los piratas!
¡Ha, ah-ah! ¡Son los piratas!

[Outro]
(¡Son los piratas)
¡Ha, ah-ah! ¡Son los piratas!
¡D-d-d-dime!
(¡Au!)"
31,Persiana americana,Soda Stereo,1986,"19 ContributorsPersiana Americana Lyrics[Letra de ""Persiana Americana""]

[Verso 1: Gustavo Cerati]
Te prefiero fuera de foco
Inalcanzable
Yo te prefiero irreversible
Casi intocable

[Pre-Coro: Gustavo Cerati]
Tus ropas caen lentamente
Soy un espía, un espectador
Y el ventilador desgarrándote
Sé que te excita pensar hasta donde llegaré

[Coro: Gustavo Cerati]
Es difícil de creer
Creo que nunca lo podré saber
Solo así yo te veré
A través de mi persiana americana

[Verso 2: Gustavo Cerati]
Es una condena agradable
El instante previo
Es como un desgaste, una necesidad
Más que un deseo


[Pre-Coro: Gustavo Cerati]
Estamos al borde de la cornisa
Casi a punto de caer
No sientes miedo, sigues sonriendo
Sé que te excita pensar hasta donde llegaré

[Coro: Gustavo Cerati]
Es difícil de creer
Creo que nunca lo podré saber
Sólo así yo te veré
A través de mi persiana americana, eh

[Puente Instrumental: Gustavo Cerati]
(Yo te veré)

[Pre-Estribillo: Gustavo Cerati]
Tus ropas caen lentamente
Soy un espía, un espectador
Y el ventilador desgarrándote
Sé que te excita pensar hasta donde llegaré

[Coro: Gustavo Cerati & Celsa Mel Gowland]
Es difícil de creer
Creo que nunca lo podré saber
Sólo así yo te veré
A través de mi persiana americana, eh
Lo que pueda suceder
No gastes fuerzas para comprender
Sólo así yo te veré
A través de mi persiana americana, ¡hoo!
Difícil de creer (Difícil de creer)
Creo que nunca lo podré saber
Sólo así (Sólo así), yo te veré (Te veré)
A través de mi persiana americana, eh
Difícil, difícil de creer (Difícil de creer)
Creo que nunca lo podré saber (Podré saber)
Sólo así yo te veré
A través de mi persiana americana


[Outro: Gustavo Cerati & Celsa Mel Gowland]
Oooh, uuh
(Sólo así yo te veré
A través de mi persiana americana)"
32,La bestia pop,Patricio Rey y sus redonditos de ricota,1985,"7 ContributorsLa Bestia Pop Lyrics[Letra de ""La Bestia Pop""]

[Verso 1]
Mi héroe es La Gran Bestia Pop
Que enciende en sueños la vigilia
Que antes que cuente diez, dormirá

[Coro]
A brillar, mi amor
Vamos a brillar, mi amor
A brillar, mi amor
Vamos a brillar, mi amor

[Verso 2]
Mi amigo está grogui sin destilar
Pero yo sé que hay caballos
Que se mueren potros sin galopar

[Coro]
A brillar, mi amor
Vamos a brillar, mi amor
A brillar, mi amor
Vamos a brillar, mi amor

[Solo]


[Verso 3]
Voy a bailar el rock del rico Luna Park
Y atomizar la butaca y brillar
Como mi héroe “La Gran Bestia Pop”

[Coro]
A brillar, mi amor
Vamos a brillar, mi amor
A brillar, mi amor
Vamos a brillar, mi amor

[Verso 4]
Mi héroe es la Gran Bestia Pop
Que enciende en sueños la vigilia
Que antes que cuente diez, dormirá

[Coro]
A brillar, mi amor
Vamos a brillar, mi amor
A brillar, mi amor
Vamos a brillar, mi amor"
33,Seguir viviendo sin tu amor,Luis Alberto Spinetta,1991,"10 ContributorsTranslationsEnglishSeguir Viviendo Sin Tu Amor Lyrics[Letra de ""Seguir Viviendo Sin Tu Amor""]

[Verso]
Si a tu corazón yo llego igual
Todo siempre se podrá elegir
No me escribas la pared
Sólo quiero estar entre tu piel

[Coro]
Y si acaso no brillara el sol
Y quedara yo atrapado aquí
No vería la razón
En seguir viviendo sin tu amor

[Pre-Coro]
Y hoy que enloquecido vuelvo
Buscando tu querer
No queda más que el viento
No queda más que el viento

[Coro]
Y si acaso no brillara el sol
Y quedara yo atrapado aquí
No vería la razón
De seguir viviendo sin tu amor


[Solo]

[Pre-Coro]
Y hoy que enloquecido vuelvo
Buscando tu querer
No queda más que el viento, no-oh
No queda más que el viento

[Coro]
Y si acaso no brillara el sol
Y quedara yo atrapado aquí
No vería la razón
De seguir viviendo sin tu amor-oh"
34,Para siempre,Los Ratones Paranoicos [ 2 ] ​,2000,
35,Abarajame,Illya Kuryaki and the Valderramas,1995,"13 ContributorsAbarajame Lyrics[Letra de ""Abarajame""]

[Verso 1: Emmanuel Horvilleur]
Mi nombre es Culero Connor
Soy cruza de potrillo y de perra
Cuando camino por las calles de mi barrio
Me gritan cuidado con la fiera
Yo tengo hijos en los ocho continentes
Y a todos ellos yo les saque los dientes
Con eso yo construí un gran puente
Para pasar pal otro lado de la serpiente
Mi nombre es Culero Connor
Soy cruza de potrillo y de perra
Cuando camino por las calles de mi barrio
Hago saber que mi ser es un calvario

[Verso 2: Dante Spinetta]
Estoy alerta de lo que haces
Cuando te muevas es mejor que no te atrases
Soy Groova Chaco, be careful vato
No te hagas el macho, con mis palabras te machaco
Hazte a un lado, que voy rumbo a tu tierra
Como Valderrama le meto gol a tus perras
Ya lo sabes, ahora me imploras
Después querrás beber de mi cantimplora
Te digo y te repito, conmigo no te metas
Mi clica está creciendo alrededor del planeta


[Coro: Dante Spinetta & Emmanuel Horvilleur]
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nena

[Verso 3: Ambos]
Be cool, don't be culo, man chico boludo
Todos tus chumbos metételo en el culo
You know about me, you know about me cara
Tú sabes, me pateas y yo no digo nada
Te importan los pibes que aspiran pegamento
Cuando ellos crezcan comerás el pavimento
Yo aspiro a la paz, tú aspiras de la otra
Saquéame la dicka sin tu tropa

[Coro]
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nenaderr
Abarajame en la bañera
Abarajame en la bañera, nena


[Verso 4: Dante Spinetta]
You sought about the time, uncame the Klama Hama
A friend without head que no quiere ser nada
Tú sabes que es humo, que se cuide de los azules
Si no terminara siendo un portero de hule

[Verso 5: Ambos]
Yo le dije a Pedro, you are latino brotha'
Be careful of pigs, they are trying to be badder
El no me hizo caso y se fumó un perro
Un ovejero yuta de un dueño hijo de puta
Pedro murió de ocho tiros policiales
Según la ley ocho tiros legales
Yo aspiro ala paz, tú aspiras de la otra
Saquéame la dicka sin tu tropa

[Coro]
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nena
Si pave
Abarajame en la bañera
Abarajame en la bañera, nena


[Puente]
Yo aspiro a la paz, tú aspiras de la otra
Saquéame la dicka sin tu tropa

[Coro]
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nena
Abarajame en la bañera
Abarajame en la bañera, nena

[Outro]
I believe in Sudamérica, manito estero man
I believe in Sudamérica, manito estero man
Soy de la raza brotha', llevo a tu clica esta car-nada, ah
Soy de la raza brotha', llevo a tu clica esta car-nada
Car-nada, car-nada, car-nada
Car-nada, car nada, car-nada, car-nada
Guero, vato estoy loco
Illya
Illya Kuryaki and the Valderramas, Illya
Illya Kuryaki and the Valderramas, Illya"
36,Mi enfermedad,Fabiana Cantilo [ 3 ] ​,1991,
37,Y lo que quiero es que pises sin el suelo,Catupecu Machu,2000,"2 ContributorsY Lo Que Quiero Es Que Pises Sin El Suelo Lyrics[Letra ""Y Lo Que Quiero Es Que Pises Sin El Suelo""]

[Verso 1]
Mientras que uno anclaba
Otro sin medir
Cambió la forma adecuada y se fue
Siempre hay un costo y un pago por ir y venir
Siempre hay un cierre cerrado, lo sé

[Pre-Coro]
Abro el costurero
Busco y salgo a descoser
Y que si quiero voy
Decime lo mejor
Y lo peor dejá, que yo me entero

[Coro]
Y lo que quiero es que pises sin el suelo
Y busco, busco

[Instrumental]

[Verso 2]
Consciente de mi inconsciencia
Me creo sin fin
Y subo mucho más alto que ayer
Llego al extremo, lo paso
Y empiezo a sentir
Que con los ojos cerrados se ve


[Pre-Coro]
Abro el costurero
Busco y salgo a descoser
Y que si quiero voy
Decime lo mejor
Y lo peor dejá, que yo me entero

[Coro]
Y lo que quiero es que pises sin el suelo
Y busco, busco

[Instrumental]

[Outro]
Y lo que quiero es que pises sin el suelo
Y lo que quiero es que pises sin el suelo
Y lo que quiero es que pises sin el suelo"
38,Sólo se trata de vivir,Litto Nebbia,1981,"1 ContributorSolo Se Trata de Vivir Lyrics[Letra de ""Solo Se Trata de Vivir""]

[Verso 1]
Dicen que viajando se fortalece el corazón
Pues andar nuevos caminos, te hace olvidar el anterior
Ojalá que esto pronto suceda
Así podrá descansar mi pena hasta la próxima vez
Ojalá que esto pronto suceda
Así podrá descansar mi pena hasta la próxima vez

[Verso 2]
Y así encuentras una paloma herida
Que te cuenta su poesía de haber amado
Y quebrantado otra ilusión
Seguro que al rato estará volando
Inventando otra esperanza para volver a vivir
Seguro que al rato estará volando
Inventando otra esperanza para volver a vivir

[Coro]
Creo que nadie puede dar una respuesta
Ni decir que puerta hay que tocar
Creo que, a pesar de tanta melancolía
Tanta pena y tanta herida, solo se trata de vivir

[Verso 3]
En mi almanaque hay una fecha vacía
Es la del día que dijiste que tenías que partir
Debes andar por nuevos caminos
Para descansar la pena hasta la próxima vez
Seguro que al rato estarás amando
Inventando otra esperanza para volver a vivir


[Coro]
Creo que nadie puede dar una respuesta
Ni decir que puerta hay que tocar
Creo que, a pesar de tanta melancolía
Tanta pena y tanta herida, solo se trata de vivir

[Puente Instrumental]

[Verso 4]
Dicen que viajando se fortalece el corazón
Pues andar nuevos caminos, te hace olvidar el anterior
Ojalá que esto pronto suceda
Así podrá descansar mi pena hasta la próxima vez
Seguro que al rato estaré amando
Inventando otra esperanza para volver a vivir

[Coro]
Creo que nadie puede dar una respuesta
Ni decir que puerta hay que tocar
Creo que, a pesar de tanta melancolía
Tanta pena y tanta herida, solo se trata de vivir"
39,Spaghetti del rock,Divididos,2000,"6 ContributorsSpaghetti del Rock Lyrics[Letra de ""Spaghetti del Rock""]

[Verso 1]
Pistones de un curioso motor de humanidad
Resortes viejos de este amor que va
Memoria hostil de un tiempo de paz sin paz
Narices frías de una noche atrás

[Estribillo]
Besos por celular
Las momias de este amor
Piden el actor de lo que fui

[Verso 2]
Pantalla de la muerte y de la canción
Proyectos de un nuevo spaghetti del rock
Cíclope de cristal devora ambición
Vomita modelos de ficción

[Refrán]
Remontar el barrilete en esta tempestad
Sólo hará entender que ayer no es hoy
Que hoy es hoy
Y que no soy actor de lo que fui

[Solo de Guitarra]


[Estribillo]
Besos por celular
Las momias de este amor
Piden el actor de lo que fui

[Refrán]
Remontar el barrilete en esta tempestad
Sólo hará entender que ayer no es hoy
Que hoy es hoy
Y que no soy actor de lo que fui"
40,"Mirta, de regreso",Juan Carlos Baglietto,1982,"3 ContributorsMirta, De Regreso Lyrics[Letra de ""Mirta, De Regreso""]

De regreso, Mirta
Ya sabes tres años a la sombra
No quiero saber si me fuiste fiel
Yo se que una mujer valiente se inclina igual
Para el lado de la sed
Servime algo, Mirta
Parece mentira el verte como antes
Pero para el que vuelve del infierno
Ya no hay mas fantasías
Solo quiere un tiempo blando
Pero esto Mirta nunca lo sabrás

No es necesario que estés alegre
Ni que prendas la luz
Entré despacio sin que me vea nadie
La noche se abre como un abrigo, Mirta
Y es un sábado más, como dice el tango
Mirta contame cómo andas

Hacé de cuenta que estuve navegando
Es casi lo mismo solo cambia el paisaje
Abajo el mar, que nuca se ve
Arriba el cielo, el cielo raso
Y tu foto en la pared
La moda ha cambiado un poco, Mirta
Ya no hay ni un pelo largo
Todos parecen soldados
Me siento parado en un cementerio
Me recibió el frío y un nuevo gobierno
Mirta no recuerdo ni tu cuerpo


Y ahora me voy, Mirta
Para vos soy un extraño conocido
Si no estoy llorando, no ves cómo me la aguanto
Debajo de la cama asoman sus zapatos
Mirta gracias por todo
Salgo a la verja, parece que ha llovido
En la estación retumba el ""Estrella del Norte""
""Vení a verme cuando salgas"" me dijo el Turco
""Comés todos los días y no hay problemas de laburo""
Solo algunas noches
Solo algunas noches
Salís a trabajar"
41,"Uno, dos, ultraviolento",Los Violadores,1985,
42,Sin documentos,Los Rodríguez,1993,"11 ContributorsSin Documentos Lyrics[Letra de ""Sin Documentos""]

[Intro]
(¡One, two!)
Ahí vamo'

[Verse 1]
Déjame atravesar el viento sin documentos
Que lo haré por el tiempo que tuvimos
Porque no queda salida porque pareces dormida
Porque buscando tu sonrisa estaría toda mi vida

[Pre-Chorus]
Quiero ser el único que te muerda la boca
Quiero saber que la vida contigo no va a terminar

[Verse 2]
Déjame que te cierre esta noche los ojos
Y mañana vendré con un cigarro a la cama
Porque no tengo más intenciones que seguir
Bebiendo de esta copa que no está tan rota

[Pre-Chorus]
Quiero ser el único que te muerda la boca
Quiero saber que la vida contigo no va a terminar


[Chorus]
Porque sí, porque sí, porque sí
Porque en esta vida no quiero pasar un día entero sin ti, ¡uh!
Porque sí, porque sí, porque sí
Porque mientras espero por ti me muero y no quiero seguir así, ¡uh-uh!

[Verse 1]
¡Ah!, déjame atravesar el viento sin documentos
Que lo haré por el tiempo que tuvimos
Porque no queda salida porque pareces dormida
Porque buscando tu sonrisa estaría toda mi vida

[Pre-Chorus]
Quiero ser el único que te muerda en la boca
Quiero saber que la vida contigo no va a terminar

[Chorus]
Porque sí, porque sí, porque sí
Porque en esta vida no quiero pasar más de un día entero sin ti
Porque sí, porque sí, porque sí
Porque mientras espero por ti me muero y no quiero seguir así
¡Oh, oh-oh-oh!

[Bridge]
(¡Uh-uh, uh-uh-uh-uh-uh!)
(¡Uh-uh, uh-uh-uh-uh-uh!)


[Pre-Chorus]
Quiero ser el único que te muerda la boca
Quiero saber que la vida contigo no va a terminar
Ay, quiero ser el único que te muerda la boca
Quiero saber que la vida contigo no va a terminar

[Chorus]
Porque sí, porque sí
Porque en esta vida no quiero pasar más de un día entero sin ti, ¡uh!
Porque sí, porque sí
Porque mientras espero por ti me muero y no quiero seguir así
¡Ah, oh!

[Outro]
¡Ugh!..."
