Artist,Title,Track ID,Album,Release Date,Duration (sec),Popularity
Memphis La Blusera,La Bifurcada,spotify:track:7qx8iUyfejy6CFhSUKKZWD,Medias Negras,1988-07-15,276.693,47
Charly García,Chipi-Chipi,spotify:track:6pCZYiB2ZoLfDuapZbpKl8,La Hija de la Lágrima,1994-07-28,186.466,52
La Portuaria,Un Dia Cualquiera (El Bar De La Calle Rodney),spotify:track:45VLmRZf4WmTSmTKt4bp53,Escenas De La Vida Amorosa,1991-01-01,227.96,45
Sandra Mihanovich,Puerto Pollensa,spotify:track:5BaoWORszQDCU5ee4frtoP,Puerto Pollensa,1982-08-05,264.506,37
Las Pelotas,Hola Que Tal,spotify:track:7CzIIZDrVCgxwXYzhzt58d,Amor Seco,1995-04-01,273.546,43
Alejandro Lerner,Todo A Pulmón,spotify:track:4T2x7TnGZTjJhkQNJ4KMN5,20 Años,1999-01-01,268.28,39
Los Brujos,Kanishka,spotify:track:54hZ4XVJ0xdp6teJVyHgn8,Fin De Semana Salvaje,1995-11-27,158.946,37
Los Piojos,Tan Solo,spotify:track:6vNaGz1KH44XJ9zRyCE81I,Chac Tu Chac,1992,240.013,1
Peligrosos Gorriones,Escafandra,spotify:track:09XkPoMOoWRiwMkwMMcCN1,Peligrosos Gorriones,1993-07-04,173.293,29
2 minutos,Ya No Sos Igual,spotify:track:1gom5NgPAZQOjpVLyh4HML,Valentin Alsina,1994-01-01,182.666,53
Man Ray,Todo Cambia,spotify:track:6UGGqx1eC9EGodHhQxxv8A,Hombre Rayo,1993-01-01,162.5,0
Los Visitantes,Playas Oscuras,spotify:track:5N7oqsGGw7zQ8PVfAKS4XY,Salud Universal,1992,241.066,0
Riff,Susy Cadillac,spotify:track:5GdNoFDCP47GFRqBjhyPkB,Contenidos,1982,239.56,0
Don Cornelio Y La Zona,Ella Vendrá - Remastered,spotify:track:7Gl2RyA6Vn4KdgpacprbUg,Don Cornelio y La Zona,1996-01-01,251.173,44
Suéter,Amanece En La Ruta,spotify:track:29UOHJBpXY1L1QiWaZLY8o,Completo,2012-01-01,231.133,41
"Todos Tus Muertos, Los Auténticos Decadentes",Gente Que No,spotify:track:6z9exPeXCP5ArkqgHIsWaF,Subversiones,1996-01-01,255.866,0
Viuda e Hijas de Roque Enroll,Lollipop,spotify:track:6sCc07DOnWLnivJXaYvt6A,Perlas y Diamantes,2014-09-23,151.493,36
Viejas Locas,Me Gustas Mucho,spotify:track:2kB1rqoTaZ3j6ChtIWGurm,Especial,1999-01-01,199.933,66
Leo García,Morrissey,spotify:track:3jGGwpCN8mgdyqCm28VGMN,Mar,2001-01-01,161.32,39
Intoxicados,Nunca quise,spotify:track:0ZAJ660VP57lLK4U7NlGOy,Otro Día en el Planeta Tierra,2005,260.371,69
Pappo's Blues,Sucio y Desprolijo,spotify:track:3dHo3940xcnvQaci88jAgg,"Pappo's Blues, Vol. 3",1972-11-25,273.26,0
